root,id,ra,dec,m444,z_map,zwidth2,bic_diff,flux_ha,err_ha,sn_ha,q1,q2,q3,q4,q_fresco,multi_ids,q_congress,q_final
fresco-only-n-v2,7888,189.3151223,62.27320538,25.26,5.186,0,303,4.9e-18,3e-19,16.3,3,3,3,2,2.75,-,1,2.75
fresco-only-n-v2,7965,189.1283031,62.27296798,27.59,5.439,0,71.7,1.2e-18,1.9e-19,6.5,2,1,1,1,1.25,-,2,2
fresco-only-n-v2,8010,189.2893655,62.2728494,27.33,5.699,0,77.7,2.1e-18,3.1e-19,6.8,2,2,2,1,1.75,-,3,3
fresco-only-n-v2,8288,189.2886829,62.27181954,25.57,5.777,0,93.3,3.7e-18,4.6e-19,8,1,2,3,2,2,-,3,3
fresco-only-n-v2,8313,189.3403019,62.27176139,27.06,5.042,0,203.7,3.3e-18,2.5e-19,13.1,3,3,3,1,2.5,-,1,2.5
fresco-only-n-v2,8445,189.3316173,62.27116459,26.1,5.304,0,442.8,5.1e-18,2.5e-19,20.5,2,3,3,2,2.5,-,3,3
fresco-only-n-v2,8479,189.327308,62.27109211,27.39,5.195,0,219.1,2.7e-18,1.9e-19,13.7,2,3,3,3,2.75,-,1,2.75
fresco-only-n-v2,8545,189.2434674,62.27081451,25.95,5.192,0,165.8,3.8e-18,3.3e-19,11.6,3,2,3,2,2.5,-,1,2.5
fresco-only-n-v2,8642,189.3423407,62.27057414,26.53,5.169,0,173.1,2.6e-18,2.2e-19,11.9,-1,-1,-1,1,-0.5,-,-1,-1
fresco-only-n-v2,8677,189.3428374,62.27032075,24.17,5.198,0,180.7,7.2e-18,6.2e-19,11.6,-1,2,3,2,1.5,-,1,1.5
fresco-only-n-v2,8831,189.3213557,62.26990483,27.09,4.997,0,62.7,1.3e-18,2.3e-19,5.7,0,1,1,0,0.5,-,0,0
fresco-only-n-v2,8854,189.3433002,62.26978098,25.98,5.193,0,244.7,3.9e-18,2.7e-19,14.7,3,2,3,2,2.5,-,1,2.5
fresco-only-n-v2,8899,189.1888511,62.26990468,26.04,5.017,0,206.4,3.5e-18,2.6e-19,13.5,2,3,3,2,2.5,-,3,3
fresco-only-n-v2,8911,189.0830231,62.26969919,26.75,5.387,0,184.5,2.9e-18,2.4e-19,12.1,-1,1,1,2,0.75,-,1,0.75
fresco-only-n-v2,9088,189.2776671,62.26907948,26.96,5.194,0,152.9,3.7e-18,3.3e-19,11.1,2,2,2,2,2,-,1,2
fresco-only-n-v2,9146,189.0687835,62.26887449,26.81,5.474,0,161.2,2.3e-18,2e-19,11.3,1,2,3,2,2,-,1,2
fresco-only-n-v2,9178,189.3016066,62.26873839,26.52,5.234,0.04,126.6,2.4e-18,2.4e-19,9.8,1,1,2,1,1.25,-,1,1.25
fresco-only-n-v2,9252,189.088013,62.26873389,25.27,5.142,0,163.6,4.5e-18,3.8e-19,11.8,2,3,3,2,2.5,-,1,2.5
fresco-only-n-v2,9299,189.2605835,62.26826812,25.55,5.19,0,823.2,1e-17,3.6e-19,28.8,-1,3,3,2,1.75,-,1,1.75
fresco-only-n-v2,9362,189.2180797,62.26808452,24.76,5.188,0,385.1,9.3e-18,5e-19,18.7,3,2,3,2,2.5,-,1,2.5
fresco-only-n-v2,9463,189.2732154,62.26775599,25.34,5.192,0,365.1,7.5e-18,4.1e-19,18.1,3,2,3,3,2.75,-,1,2.75
fresco-only-n-v2,9492,189.3154723,62.26748601,23.83,5.189,0,377.8,8.8e-18,4.8e-19,18.2,3,3,3,3,3,-,1,3
fresco-only-n-v2,9533,189.3323078,62.26742798,25.87,5.303,0,137.4,2.4e-18,2.3e-19,10.2,2,2,3,2,2.25,-,1,2.25
