name,ra,dec,priority,type
z5_GND_28693,189.106339,62.222816,4,TARGET
z5_GND_27819,189.110336,62.225437,4,TARGET
z5_GND_27023,189.113434,62.227650,4,TARGET
z5_GND_23616,189.126144,62.237171,4,TARGET
z5_GND_23450,189.139206,62.237736,4,TARGET
z5_GND_20529,189.125778,62.245922,4,TARGET
z5_GND_23926,189.119080,62.236248,4,TARGET
z5_GND_23098,189.119629,62.238552,4,TARGET
z5_GND_23097,189.120056,62.238659,4,TARGET
z5_GND_22822,189.094940,62.239460,4,TARGET
z5_GND_21873,189.124161,62.242218,4,TARGET
z5_GND_21641,189.117630,62.244312,4,TARGET
z5_GND_21153,189.049622,62.244038,4,TARGET
z5_GND_13973,189.145691,62.264256,4,TARGET
z5_GND_13494,189.147812,62.265678,4,TARGET
z5_GND_17105,189.118622,62.255566,4,TARGET
z5_GND_14761,189.100067,62.262043,4,TARGET
z5_GND_16723,189.060165,62.256508,4,TARGET
z5_GND_10084,189.140717,62.277237,4,TARGET
z5_GND_45273,189.077911,62.273827,4,TARGET
z5_GND_42576,189.143311,62.304779,4,TARGET
z5_GNW_25352,189.407257,62.290123,4,TARGET
z6_GNW_21823,189.355591,62.312592,4,TARGET
z5_GNW_5622,189.080841,62.141083,4,TARGET
z6_GNW_9770,189.117615,62.164848,4,TARGET
z5_GND_17752,189.091812,62.253738,4,TARGET
z5_GNW_11950,188.967667,62.179089,4,TARGET
z5_GNW_17295,188.985779,62.220367,4,TARGET
z6_GND_40374,189.317230,62.183056,4,TARGET
z5_GND_37006,189.365982,62.196171,4,TARGET
z6_GND_19744,189.333466,62.248184,4,TARGET
z5_GND_15486,189.313858,62.259865,4,TARGET
z5_GND_464,189.270706,62.148418,4,TARGET
z5_GND_28158,189.189255,62.224251,4,TARGET
z5_GND_19515,189.224777,62.248867,4,TARGET
z6_GND_44138,189.256210,62.291264,4,TARGET
z5_GND_7334,189.173019,62.296448,4,TARGET
z5_GND_28891,189.116974,62.222080,4,TARGET
z5_GND_22796,189.088608,62.239491,4,TARGET
z5_GND_17752,189.091812,62.253738,4,TARGET
z5_GND_11013,189.157440,62.273609,4,TARGET
z8_GNW_25541,189.513046,62.288696,4,TARGET
z7_GNW_23317,189.439667,62.302383,4,TARGET
z8_GNW_20826,189.401169,62.319225,4,TARGET
z8_GNW_27475,189.373810,62.336391,4,TARGET
z7_GNW_19517,189.325821,62.334698,4,TARGET
z7_GNW_18773,189.309174,62.362141,4,TARGET
z7_GNW_21903,189.290756,62.311100,4,TARGET
z7_GNW_19939,189.273392,62.324783,4,TARGET
z8_GNW_19912,189.252716,62.328400,4,TARGET
z7_GNW_32502,189.285812,62.354965,4,TARGET
z7_GNW_32653,189.278732,62.357452,4,TARGET
z7_GNW_7284,189.036041,62.149914,4,TARGET
z7_GND_9252,189.069672,62.281013,4,TARGET
z7_GND_40057,189.339462,62.184780,4,TARGET
