slit,targetnum,name,ra,dec,pmra,pmdec,mag,priority,epoch,type,wave_start,wave_end,side
88,166,z5_GND_38076,189.259857,62.192493,0,0,0.0010000000474974513,3.9998779296875,2000,TARGET,7564.6313861849885,10087.290830849817,B
89,167,z5_GND_37378,189.261703,62.194908,0,0,0.0010000000474974513,3.9998779296875,2000,TARGET,7562.947344540115,10085.60742712392,B
22,46,z6_GND_37114,189.276001,62.195805,0,0,0.0010000000474974513,3,2000,TARGET,7518.356251555082,10041.036072270663,B
35,77,z7_GND_34730,189.225845,62.204224,0,0,0.0010000000474974513,3,2000,TARGET,7695.302421330327,10217.903420222821,B
23,47,z6_GND_36192,189.293243,62.198696,0,0,0.0010000000474974513,3,2000,TARGET,7467.854750353116,9990.556867941174,B
92,173,z5_GND_35096,189.283508,62.203049,0,0,0.0010000000474974513,3.9998779296875,2000,TARGET,7507.11886111485,10029.803409852551,B
95,176,z5_GND_33500,189.261383,62.208023,0,0,0.0010000000474974513,3.9998779296875,2000,TARGET,7587.472364208022,10110.121093498354,B
32,74,z6_GND_35540,189.337234,62.201584,0,0,0.0010000000474974513,3,2000,TARGET,7331.090036412065,9853.852783229933,B
181,400,3DHST_12523,189.346252,62.203732,0,0,0.0010000000474974513,18,2000,TARGET,7305.920747012097,9828.694624517893,B
8,20,z5_GND_30190,189.248978,62.218365,0,0,0.0010000000474974513,3,2000,TARGET,7646.233321213816,10168.85570987721,B
254,584,3DHST_13823,189.346039,62.210247,0,0,0.0010000000474974513,217.9998779296875,2000,TARGET,7318.601097524245,9841.369228052396,B
311,700,3DHST_17116,189.233795,62.226604,0,0,0.0010000000474974513,340,2000,TARGET,7710.201423623039,10232.795259517503,B
98,182,z5_GND_27870,189.263809,62.225407,0,0,0.0010000000474974513,3.9998779296875,2000,TARGET,7611.428299286551,10134.066068661066,B
147,338,3DHST_Q_14945,189.359384,62.215357,0,0,0.0010000000474974513,1527,2000,TARGET,7285.09111022272,9807.874093347013,B
97,181,z5_GND_26806,189.273712,62.228466,0,0,0.0010000000474974513,3.9998779296875,2000,TARGET,7585.244817233418,10107.894217285282,B
24,48,z6_GND_25195,189.260529,62.232784,0,0,0.0010000000474974513,3,2000,TARGET,7635.671033705754,10158.297989896635,B
383,868,3DHST_18775,189.269287,62.234585,0,0,0.0010000000474974513,511,2000,TARGET,7610.888357494568,10133.52634767125,B
33,75,z6_GND_29625,189.40358,62.219875,0,0,0.0010000000474974513,3,2000,TARGET,7151.270033973086,9674.112573561457,B
1,5,Hu10_z6_12,189.320312,62.233444,0,0,0.0010000000474974513,1,2000,TARGET,7444.774876916068,9967.4868237997,B
