ID ra dec redshift Jmag
2131.0 189.08755493 62.14001083 2.0691 26.018919625924596
2135.0 189.29360962 62.14020538 2.4597 24.4477693769512
2156.0 189.10520935 62.14023972 2.2318 27.027186982686178
2161.0 189.10121155 62.14110565 1.9976 22.689469828452122
2165.0 189.16156006 62.14038086 2.1381 25.59587564794457
2175.0 189.19290161 62.14046478 2.3628 25.60313648460034
2178.0 189.25485229 62.14045334 1.9172 25.63846576291506
2187.0 189.29450989 62.14063263 2.1999 25.457905922744914
2210.0 189.15335083 62.14085007 1.9606 26.24427368021307
2214.0 189.24786377 62.14090347 1.9158 25.10132324481223
2221.0 189.17826843 62.14094543 2.2166 27.542265491218195
2255.0 189.15208435 62.14126587 1.9923 25.761011278103272
2261.0 189.28105164 62.14292145 1.9709 24.360492536615755
2272.0 189.09960938 62.14172363 2.3488 24.607113900234296
2274.0 189.29634094 62.14201355 2.4803 24.031658934516656
2295.0 189.11437988 62.1424942 2.0394 22.433666838691757
2298.0 189.23762512 62.14176559 2.0146 26.11954665290166
2308.0 189.00538635 62.14167786 2.1901 26.06845985077187
2309.0 189.28375244 62.14191818 2.1531 24.94630316935618
2312.0 189.28111267 62.14271164 2.1881 24.346188608818323
2328.0 189.26223755 62.14255142 2.0067 23.600831804029855
2329.0 189.26264954 62.14248657 1.9696 23.601879739779367
2341.0 189.18400574 62.1421814 2.1169 25.718544090176785
2361.0 189.11929321 62.14232254 1.9416 26.68744299932387
2364.0 189.15408325 62.14235306 1.9548 25.68746818664711
2365.0 189.20957947 62.14240265 2.1079 25.98254264843878
2378.0 189.05252075 62.14324188 2.3128 23.712369639088966
2387.0 189.08352661 62.14248657 2.3169 26.72502017804705
2456.0 189.19369507 62.14335251 2.3996 24.83167179947958
2463.0 189.01295471 62.14308167 1.9452 25.432999546528734
