ID z_fink z_bouw Hmag ra dec
z8_GND_32588 7.63 7.66 27.21 189.325317 62.210953
z6_GND_19416 6.05 8.20 27.79 189.318161 62.249264
z7_GND_15330 7.09 7.66 27.10 189.310867 62.260448
z8_GND_41247 7.67 7.08 26.94 189.279510 62.179752
z7_GND_3509 6.94 7.41 27.77 189.227768 62.176628
z8_GND_35384 7.60 7.49 26.59 189.231995 62.202343
z8_GND_21784 7.80 7.66 26.37 189.203125 62.242485
z7_GND_18228 7.08 7.49 27.47 189.245270 62.252533
z7_GND_13456 7.22 7.24 26.37 189.264938 62.265789
z8_GND_16634 7.96 7.33 27.77 189.197739 62.256969
z8_GND_9408 7.98 8.02 27.39 189.300110 62.280357
z7_GND_8888 7.25 7.24 27.83 189.261658 62.283272
z8_GND_8052 8.10 7.84 26.19 189.270020 62.288559
z7_GND_44826 7.09 7.75 27.21 189.179764 62.282383
z7_GND_9034 7.39 7.58 27.89 189.195694 62.282425
z7_GND_8012 7.31 7.49 26.66 189.260422 62.289406
z8_GND_42641 8.10 7.41 27.31 189.226212 62.304413
z8_GND_25328 7.88 7.93 27.76 189.127716 62.232597
z7_GND_20984 7.12 7.16 26.94 189.133713 62.244598
z8_GND_45101 8.10 7.84 27.56 189.121094 62.277802
z7_GND_44524 7.48 7.41 27.44 189.121201 62.286392
