ID z_fink ra dec
z5_GND_16757 4.690000057220459 189.175995 62.256420
z5_GND_9323 4.690000057220459 189.239700 62.280739
z5_GND_37639 4.690000057220459 189.219482 62.193893
z5_GND_9566 4.690000057220459 189.199280 62.279469
z5_GND_2387 4.690000057220459 189.303986 62.169209
z5_GND_26508 4.699999809265137 189.407501 62.229317
z5_GND_35564 4.699999809265137 189.171921 62.201389
z5_GND_33407 4.699999809265137 189.412903 62.208160
z5_GND_38764 4.699999809265137 189.266357 62.190006
z5_GND_27180 4.699999809265137 189.113739 62.227261
z5_GND_12622 4.699999809265137 189.290070 62.268406
z5_GND_16072 4.699999809265137 189.141800 62.258396
z5_GND_40238 4.710000038146973 189.271683 62.184113
z5_GND_13818 4.710000038146973 189.298050 62.264790
z5_GND_19107 4.710000038146973 189.213837 62.249859
z5_GND_1119 4.710000038146973 189.282242 62.157372
z5_GND_22782 4.710000038146973 189.399384 62.239311
z5_GND_35373 4.710000038146973 189.328186 62.202179
z5_GND_39969 4.710000038146973 189.326752 62.185165
z5_GND_19449 4.710000038146973 189.072815 62.248985
z5_GND_33165 4.710000038146973 189.163284 62.209141
z5_GND_36623 4.710000038146973 189.356293 62.197601
z5_GND_341 4.71999979019165 189.264572 62.146229
z5_GND_17343 4.71999979019165 189.091400 62.254662
z5_GND_40325 4.71999979019165 189.309937 62.183781
